qid,qname,question,force_resp,type,selector
QID2,MainBranch,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"".*",True,MC,SAVR
QID127,Age,What is your age?*,True,MC,SAVR
QID296,Employment,Which of the following best describes your current employment status? Select all that apply.*,True,MC,MAVR
QID308,RemoteWork,Which best describes your current work situation?,False,MC,SAVR
QID341,Check,Just checking to make sure you are paying attention to the survey questions. Select ‘Apples’ from the list and you can get back to the survey.*<br><br>,True,MC,SAVR
QID297,CodingActivities,Which of the following best describes the code you write outside of work? Select all that apply.,False,MC,MAVR
QID25,EdLevel,Which of the following best describes the highest level of formal education that you’ve completed? *,True,MC,SAVR
QID276,LearnCode,How do you learn to code? Select all that apply.,False,MC,MAVR
QID281,LearnCodeOnline,What online resources do you use to learn to code? Select all that apply.,False,MC,MAVR
QID331,TechDoc,What is the source of the technical documentation you use most often to learn to code?  Select all that apply.,False,MC,MAVR
QID32,YearsCode,"Including any education, how many years have you been coding in total?",False,MC,DL
QID34,YearsCodePro,"NOT including education, how many years have you coded professionally (as a part of your work)?",False,MC,DL
QID31,DevType,"Which of the following describes your current job, the one you do most of the time? Please select only one.",False,MC,SAVR
QID29,OrgSize,"Approximately how many people are employed by the company or organization you currently work for?  This should only include your primary company, and not the entire holding or parent company if that applies.",False,MC,SAVR
QID278,PurchaseInfluence,"What level of influence do you, personally, have over new technology purchases at your organization?",False,MC,SAVR
QID279,BuyNewTool,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply.",False,MC,MAVR
QID330,BuildvsBuy,"When asked to provide a recommendation for solving a problem at work with a new tool or software, what has been your most recent choice of the following?",False,MC,SAVR
QID335,TechEndorse,What product feature do you care about most when endorsing a technology purchase? Select all that apply.,False,MC,MAVR
QID6,Country,"Where do you live? <span style=""font-weight: bolder;"">*</span>",True,MC,DL
QID50,Currency,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *",True,MC,DL
QID51,CompTotal,"What is your current total <b>annual</b> compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty.",False,TE,SL
QID233,Language,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID262,Database,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID263,Platform,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID264,Webframe,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID340,Embedded,"Which <b>embedded systems and technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID265,MiscTech,"Which <b>other frameworks and libraries</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID275,ToolsTech,"Which <b>developer </b><strong>tools for compiling, building and testing</strong> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)",False,Matrix,Likert
QID274,NEWCollabTools,"Which <strong>development environments</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.",False,Matrix,Likert
QID71,OpSys,What is the primary <b>operating system</b> in which you work?,False,Matrix,Likert
QID282,OfficeStackAsync,"Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",False,Matrix,Likert
QID307,OfficeStackSync,"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",False,Matrix,Likert
